[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/coffee-cherries.jpg → 200 (1ms, 283515B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/cacao-pods.jpg → 200 (1ms, 648871B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/honey-jar.jpg → 200 (2ms, 364783B)
[2026-08-21T16:19:11.332Z] GET file:///Users/santiago/workspace/zafra-site/images/vanilla-orchid.jpg → 200 (2ms, 329211B)
[2026-08-21T16:19:11.332Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (3ms, -815B)
[2026-08-21T16:19:11.332Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (2ms, -815B)
[2026-08-21T16:19:11.332Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (3ms, -815B)
[2026-08-21T16:23:42.959Z] GET file:///Users/santiago/workspace/zafra-site/coming-soon.html → 200 (1ms, 4922B)
[2026-08-21T16:23:42.962Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;0,700;1,400;1,500;1,600&display=swap → 200 (266ms, 1624B)
[2026-08-21T16:23:42.962Z] GET file:///Users/santiago/workspace/zafra-site/images/zafra-logo-final.jpg → 200 (1ms, 118638B)
[2026-08-21T16:23:43.016Z] GET file:///Users/santiago/workspace/zafra-site/images/hero-mountains.jpg → 200 (?ms, 672685B)
[2026-08-21T16:23:43.230Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (4ms, -815B)
[2026-08-21T16:23:43.230Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (5ms, -815B)
[2026-08-21T16:23:43.231Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (4ms, -815B)
